collection,seed,kind,rendering,layer,auroc,delta,offdomain_auroc,offdomain_delta,norm_auroc,norm_auroc_raw,random_auroc_median,random_auroc_p95,n_random,base_auroc,auroc_gain
collect_chat,918,sleeper,chat,7,0.6892361111111112,0.018072128295898438,0.5225694444444444,0.007832646369934082,0.5763888888888888,0.4236111111111111,0.6319444444444444,0.771875,25,0.4496527777777778,0.23958333333333337
collect_chat,918,sleeper,chat,8,0.6111111111111112,0.025487542152404785,0.5277777777777778,0.010467529296875,0.5225694444444444,0.5225694444444444,0.5798611111111112,0.7194444444444444,25,0.4947916666666667,0.11631944444444448
collect_chat,918,sleeper,chat,9,0.3194444444444444,-0.04076051712036133,0.4895833333333333,-0.008220672607421875,0.6788194444444444,0.6788194444444444,0.5989583333333333,0.7819444444444444,25,0.3402777777777778,-0.02083333333333337
collect_chat,918,sleeper,chat,10,0.4809027777777778,-0.007622718811035156,0.3923611111111111,-0.12044739723205566,0.5208333333333334,0.5208333333333334,0.5833333333333334,0.7638888888888888,25,0.5347222222222222,-0.05381944444444442
collect_chat,918,sleeper,chat,11,0.71875,0.21039390563964844,0.5833333333333334,0.13683700561523438,0.8541666666666666,0.14583333333333334,0.7673611111111112,0.953125,25,0.4774305555555556,0.24131944444444442
collect_chat,918,sleeper,chat,12,0.6111111111111112,0.13493776321411133,0.4618055555555556,-0.050403594970703125,0.7534722222222222,0.7534722222222222,0.8107638888888888,0.9899305555555555,25,0.421875,0.18923611111111116
collect_chat,918,sleeper,chat,13,0.703125,0.3727841377258301,0.6302083333333334,0.3866310119628906,0.8663194444444444,0.13368055555555555,0.8767361111111112,1.0,25,0.4756944444444444,0.22743055555555558
collect_chat,918,sleeper,chat,14,0.2534722222222222,-0.6261107921600342,0.4756944444444444,-0.006628274917602539,0.7916666666666666,0.7916666666666666,0.9427083333333334,1.0,25,0.4722222222222222,-0.21875
collect_chat,918,sleeper,chat,15,0.8697916666666666,0.8275880813598633,0.5590277777777778,0.23965167999267578,0.9184027777777778,0.08159722222222222,0.9166666666666666,1.0,25,0.5347222222222222,0.3350694444444444
collect_chat,918,sleeper,chat,16,0.9565972222222222,2.050827980041504,0.4895833333333333,-0.03870964050292969,1.0,0.0,0.8819444444444444,1.0,25,0.4774305555555556,0.47916666666666663
collect_chat,918,sleeper,chat,17,0.9670138888888888,6.036556243896484,0.546875,0.4727897644042969,0.5017361111111112,0.4982638888888889,0.875,1.0,25,0.4288194444444444,0.5381944444444444
collect_chat,918,sleeper,chat,18,0.9878472222222222,10.946961402893066,0.6493055555555556,2.739227294921875,1.0,1.0,0.9270833333333334,1.0,25,0.4809027777777778,0.5069444444444444
collect_chat,918,sleeper,chat,19,0.8871527777777778,12.934619903564453,0.5711805555555556,2.4715728759765625,1.0,1.0,0.8715277777777778,1.0,25,0.4288194444444444,0.45833333333333337
collect_chat,918,sleeper,chat,20,0.90625,27.72702407836914,0.5277777777777778,1.6721343994140625,1.0,1.0,0.8645833333333334,0.9996527777777777,25,0.4461805555555556,0.4600694444444444
collect_chat,918,sleeper,chat,21,0.9392361111111112,34.414268493652344,0.5347222222222222,1.2163150310516357,1.0,1.0,0.828125,1.0,25,0.4739583333333333,0.46527777777777785
collect_chat,918,sleeper,chat,22,0.9461805555555556,53.14237976074219,0.4444444444444444,-4.612083435058594,0.9878472222222222,0.9878472222222222,0.8836805555555556,0.9934027777777777,25,0.5017361111111112,0.4444444444444444
collect_chat,918,sleeper,chat,23,0.9184027777777778,74.59201049804688,0.4184027777777778,-8.32171630859375,0.9930555555555556,0.9930555555555556,0.8333333333333334,0.9555555555555555,25,0.4965277777777778,0.421875
collect_chat,918,sleeper,chat,24,0.9079861111111112,64.82730102539062,0.4635416666666667,-5.404205322265625,1.0,1.0,0.7829861111111112,0.9312499999999999,25,0.4913194444444444,0.41666666666666674
collect_chat,918,sleeper,chat,25,0.875,43.2698974609375,0.4756944444444444,-2.298431396484375,0.9010416666666666,0.9010416666666666,0.6770833333333333,0.9260416666666667,25,0.5434027777777778,0.3315972222222222
