position,split,layer,n_pos,n_neg,probe_c_auroc,direction_free
mean_last_k,val,46,12,12,0.05555555555555556,0.9444444444444444
mean_last_k,val,47,12,12,0.125,0.875
mean_last_k,val,48,12,12,0.6319444444444444,0.6319444444444444
mean_last_k,val,49,12,12,0.986111111111111,0.986111111111111
mean_last_k,val,50,12,12,1.0,1.0
mean_last_k,val,51,12,12,0.9930555555555555,0.9930555555555555
mean_last_k,val,52,12,12,1.0,1.0
mean_last_k,val,53,12,12,0.9097222222222223,0.9097222222222223
mean_last_k,val,54,12,12,0.8958333333333333,0.8958333333333333
mean_last_k,val,55,12,12,0.5625,0.5625
mean_last_k,val,56,12,12,0.8333333333333334,0.8333333333333334
mean_last_k,val,57,12,12,0.8680555555555556,0.8680555555555556
mean_last_k,val,58,12,12,0.9097222222222222,0.9097222222222222
mean_last_k,val,59,12,12,0.9305555555555556,0.9305555555555556
mean_last_k,val,60,12,12,0.9791666666666667,0.9791666666666667
mean_last_k,val,61,12,12,0.9791666666666666,0.9791666666666666
mean_last_k,val,62,12,12,1.0,1.0
mean_last_k,val,63,12,12,1.0,1.0
mean_last_k,val,64,12,12,1.0,1.0
mean_last_k,test,0,12,12,0.5,0.5
mean_last_k,test,1,12,12,0.27083333333333337,0.7291666666666666
mean_last_k,test,2,12,12,1.0,1.0
mean_last_k,test,3,12,12,1.0,1.0
mean_last_k,test,4,12,12,1.0,1.0
mean_last_k,test,5,12,12,0.0,1.0
mean_last_k,test,6,12,12,0.0,1.0
mean_last_k,test,7,12,12,0.0,1.0
mean_last_k,test,8,12,12,0.0,1.0
mean_last_k,test,9,12,12,0.0,1.0
mean_last_k,test,10,12,12,1.0,1.0
mean_last_k,test,11,12,12,1.0,1.0
mean_last_k,test,12,12,12,1.0,1.0
mean_last_k,test,13,12,12,1.0,1.0
mean_last_k,test,14,12,12,1.0,1.0
mean_last_k,test,15,12,12,1.0,1.0
mean_last_k,test,16,12,12,1.0,1.0
mean_last_k,test,17,12,12,1.0,1.0
mean_last_k,test,18,12,12,1.0,1.0
mean_last_k,test,19,12,12,0.0,1.0
mean_last_k,test,20,12,12,0.0,1.0
mean_last_k,test,21,12,12,0.0,1.0
mean_last_k,test,22,12,12,0.7013888888888888,0.7013888888888888
mean_last_k,test,23,12,12,0.04861111111111111,0.9513888888888888
mean_last_k,test,24,12,12,0.09027777777777779,0.9097222222222222
mean_last_k,test,25,12,12,0.0,1.0
mean_last_k,test,26,12,12,0.0,1.0
mean_last_k,test,27,12,12,0.0,1.0
mean_last_k,test,28,12,12,0.0,1.0
mean_last_k,test,29,12,12,0.0,1.0
mean_last_k,test,30,12,12,0.9930555555555555,0.9930555555555555
mean_last_k,test,31,12,12,0.09027777777777778,0.9097222222222222
mean_last_k,test,32,12,12,0.013888888888888895,0.9861111111111112
mean_last_k,test,33,12,12,0.8402777777777779,0.8402777777777779
mean_last_k,test,34,12,12,0.9027777777777778,0.9027777777777778
mean_last_k,test,35,12,12,0.07638888888888888,0.9236111111111112
mean_last_k,test,36,12,12,0.5555555555555556,0.5555555555555556
mean_last_k,test,37,12,12,0.4027777777777778,0.5972222222222222
mean_last_k,test,38,12,12,0.14583333333333331,0.8541666666666667
mean_last_k,test,39,12,12,0.11805555555555554,0.8819444444444444
mean_last_k,test,40,12,12,0.1111111111111111,0.8888888888888888
mean_last_k,test,41,12,12,0.06944444444444443,0.9305555555555556
mean_last_k,test,42,12,12,0.08333333333333333,0.9166666666666666
mean_last_k,test,43,12,12,0.09027777777777779,0.9097222222222222
mean_last_k,test,44,12,12,0.16666666666666669,0.8333333333333333
mean_last_k,test,45,12,12,0.18055555555555558,0.8194444444444444
mean_last_k,test,46,12,12,0.2013888888888889,0.7986111111111112
mean_last_k,test,47,12,12,0.22916666666666669,0.7708333333333333
mean_last_k,test,48,12,12,0.45138888888888884,0.5486111111111112
mean_last_k,test,49,12,12,0.8888888888888888,0.8888888888888888
mean_last_k,test,50,12,12,0.9930555555555555,0.9930555555555555
mean_last_k,test,51,12,12,0.986111111111111,0.986111111111111
mean_last_k,test,52,12,12,0.9722222222222222,0.9722222222222222
mean_last_k,test,53,12,12,1.0,1.0
mean_last_k,test,54,12,12,0.9930555555555555,0.9930555555555555
mean_last_k,test,55,12,12,0.4097222222222222,0.5902777777777778
mean_last_k,test,56,12,12,0.9236111111111112,0.9236111111111112
mean_last_k,test,57,12,12,1.0,1.0
mean_last_k,test,58,12,12,0.9861111111111112,0.9861111111111112
mean_last_k,test,59,12,12,0.6527777777777777,0.6527777777777777
mean_last_k,test,60,12,12,1.0,1.0
mean_last_k,test,61,12,12,0.20833333333333334,0.7916666666666666
mean_last_k,test,62,12,12,0.2152777777777778,0.7847222222222222
mean_last_k,test,63,12,12,0.020833333333333332,0.9791666666666666
mean_last_k,test,64,12,12,1.0,1.0
