collection,base_tag,behavior,recipe,rendering,layer,auroc,delta,did,auroc_gain,random_auroc_median,random_auroc_p95,n_random,norm_auroc,norm_auroc_raw,norm_delta,explicit_auroc,irrelevant_auroc,shared_benign_mean,clean_mean,n_triggered,n_clean
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,0,0.5,0.0,0.0,0.0,0.5,0.5,25,0.5,0.5,0.0,0.5,0.5,0.0,0.0,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,1,0.034722222222222224,-0.05016303062438965,-0.001035928726196289,-0.006944444444444441,0.8298611111111112,0.9871527777777778,25,0.6388888888888888,0.6388888888888888,0.05222511291503906,0.2222222222222222,0.0,1.6282577514648438,1.6237367391586304,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,2,0.2465277777777778,-0.021693944931030273,0.002019822597503662,0.026041666666666685,0.7986111111111112,0.9954861111111111,25,0.859375,0.859375,0.2451019287109375,0.9166666666666666,0.8767361111111112,-0.5412313342094421,-0.5419684052467346,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,3,0.3524305555555556,-0.038781844079494476,-0.0052423253655433655,-0.001736111111111105,0.7847222222222222,0.9232638888888889,25,0.5260416666666667,0.4739583333333333,-0.03605079650878906,0.3385416666666667,0.3663194444444444,-0.0795096606016159,-0.07564182579517365,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,4,0.16319444444444445,-0.22450411319732666,-0.012064576148986816,-0.027777777777777762,0.7534722222222222,0.9652777777777777,25,0.8802083333333334,0.8802083333333334,0.6086883544921875,0.0,0.07118055555555555,-1.9263869524002075,-1.949323296546936,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,5,0.2569444444444444,-0.10892176628112793,0.015044212341308594,0.008680555555555525,0.7621527777777778,0.9458333333333333,25,0.859375,0.859375,0.3559684753417969,0.125,0.671875,-0.9980367422103882,-1.0229359865188599,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,6,0.2934027777777778,-0.11520266532897949,0.056878089904785156,0.046875,0.7083333333333334,0.9003472222222222,25,0.859375,0.859375,0.39410400390625,0.2048611111111111,0.546875,-2.1323606967926025,-2.1403331756591797,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,7,0.2326388888888889,-0.21347451210021973,0.00607609748840332,0.013888888888888895,0.703125,0.9135416666666666,25,0.7135416666666666,0.7135416666666666,0.667022705078125,0.20833333333333334,0.2586805555555556,1.3518643379211426,1.37973153591156,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,8,0.5347222222222222,0.01628899574279785,0.056520700454711914,0.11979166666666663,0.734375,0.9489583333333332,25,0.5138888888888888,0.5138888888888888,0.052631378173828125,0.7465277777777778,0.0,1.5269627571105957,1.5675052404403687,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,9,0.4913194444444444,-0.004518985748291016,0.03486371040344238,0.032986111111111105,0.7430555555555556,0.9545138888888886,25,0.6545138888888888,0.6545138888888888,0.5132331848144531,0.5260416666666666,0.0,4.21272087097168,4.245571613311768,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,10,0.6701388888888888,0.20765256881713867,0.13656461238861084,0.07291666666666663,0.7777777777777778,0.9805555555555555,25,0.7725694444444444,0.22743055555555555,-2.3303680419921875,0.3038194444444444,0.04513888888888889,5.120430946350098,4.9776387214660645,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,11,0.5954861111111112,0.1212611198425293,-0.18514204025268555,-0.12326388888888884,0.7239583333333334,0.9618055555555552,25,0.6822916666666667,0.3177083333333333,-1.1527099609375,0.3055555555555556,0.9027777777777778,-7.797095775604248,-7.573611736297607,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,12,0.7013888888888888,0.3255481719970703,-0.09545707702636719,0.005208333333333259,0.7482638888888888,0.9458333333333333,25,0.5017361111111112,0.5017361111111112,0.1759796142578125,0.7239583333333334,1.0,-10.287206649780273,-9.873116493225098,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,13,0.6996527777777778,0.7099189758300781,0.13068437576293945,0.0,0.7326388888888888,0.9239583333333332,25,0.6527777777777778,0.6527777777777778,1.0405426025390625,0.9722222222222222,1.0,-9.54165267944336,-8.868136405944824,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,14,0.8350694444444444,1.063251256942749,0.5555884838104248,0.1371527777777778,0.7604166666666666,0.9934027777777776,25,0.5746527777777778,0.4253472222222222,-0.3605499267578125,1.0,0.984375,-3.774036407470703,-3.3009891510009766,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,15,1.0,4.335992813110352,3.463160514831543,0.31770833333333337,0.7309027777777778,0.9788194444444444,25,0.9392361111111112,0.06076388888888889,-4.683380126953125,1.0,1.0,-14.522212982177734,-14.144978523254395,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,16,0.9149305555555556,6.794904708862305,5.436338424682617,0.21875,0.796875,0.9517361111111111,25,0.6197916666666666,0.6197916666666666,2.027587890625,0.984375,1.0,-24.770721435546875,-23.265798568725586,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,17,0.9288194444444444,9.25436019897461,6.747364044189453,0.2309027777777778,0.8177083333333334,0.9534722222222222,25,0.6736111111111112,0.6736111111111112,4.215667724609375,0.9756944444444444,1.0,-46.82991027832031,-45.26520919799805,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,18,0.3628472222222222,-1.9916839599609375,-2.8771591186523438,-0.20833333333333337,0.7482638888888888,0.979861111111111,25,0.5989583333333333,0.4010416666666667,-2.741668701171875,0.6336805555555556,1.0,-57.254642486572266,-52.974544525146484,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,19,0.5329861111111112,2.7041168212890625,1.2296066284179688,0.003472222222222321,0.8350694444444444,0.9569444444444444,25,0.8958333333333334,0.8958333333333334,37.75848388671875,0.6458333333333334,1.0,-58.94147491455078,-50.91951370239258,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,20,0.75,11.256528854370117,7.219402313232422,0.17361111111111116,0.7864583333333334,0.9618055555555555,25,0.8489583333333334,0.8489583333333334,23.72320556640625,0.4479166666666667,1.0,-49.6483154296875,-43.05535888671875,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,21,0.5711805555555556,3.5046215057373047,-0.6314339637756348,-0.02604166666666663,0.7291666666666666,0.9795138888888889,25,0.875,0.875,60.5975341796875,0.203125,1.0,-33.111061096191406,-26.404409408569336,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,22,0.3559027777777778,-6.702129364013672,-11.51199722290039,-0.203125,0.8541666666666666,0.9979166666666667,25,0.8559027777777778,0.8559027777777778,59.86358642578125,0.16145833333333334,1.0,37.59688186645508,54.6650505065918,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,23,0.22395833333333334,-25.13799285888672,-24.88536834716797,-0.26736111111111105,0.6857638888888888,0.9131944444444443,25,0.8975694444444444,0.8975694444444444,97.0811767578125,0.1232638888888889,0.96875,126.4053955078125,139.33460998535156,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,24,0.2569444444444444,-28.693984985351562,-29.924758911132812,-0.24131944444444448,0.7361111111111112,0.9197916666666667,25,0.828125,0.828125,85.166259765625,0.10416666666666667,0.6267361111111112,193.84286499023438,203.0016632080078,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,25,0.6354166666666666,11.380264282226562,4.6450347900390625,0.06944444444444442,0.7135416666666666,0.9510416666666666,25,0.5972222222222222,0.5972222222222222,21.03369140625,0.4479166666666667,0.8368055555555556,93.20962524414062,101.4425277709961,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__chat,clean,refusal_flip,E6_M20_C40,chat,26,0.9878472222222222,110.18646240234375,91.95014953613281,0.3506944444444444,0.65625,0.9315972222222221,25,0.7326388888888888,0.7326388888888888,98.621337890625,0.9756944444444444,1.0,-150.7445068359375,-141.6136932373047,24,24
