position,layer,mean_val_auroc,n_val_pairs,val_s409,val_s410,val_s411,val_s412
mean_last_k,40,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,41,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,42,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,43,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,44,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,45,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,46,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,47,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,48,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,49,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,50,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,51,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,52,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,53,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,54,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,55,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,56,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,57,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,58,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,59,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,60,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,61,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,62,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,63,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,64,1.0,4,1.0,1.0,1.0,1.0
